"","areaName","Borough","X2019.01","X2019.02","X2019.03","X2019.04","X2019.05","X2019.06","X2019.07","X2019.08","X2019.09","X2019.10","X2019.11","X2019.12","X2020.01","X2020.02","X2020.03","X2020.04","X2020.05","X2020.06","X2020.07","X2020.08","X2020.09","X2020.10","X2020.11","X2020.12","X2021.01","X2021.02","X2021.03","X2021.04","X2021.05","X2021.06","X2021.07","X2021.08","X2021.09","X2021.10","X2021.11","X2021.12"
"24","Bronxwood","Bronx",1650,1598,1650,1625,1750,1895,1625,1750,2273,1950,1700,1695,1675,1645,1645,1645,1645,1645,1645,1700,1725,1648,1548,1623,1625,1545,1845,1603,1695,1673,1625,1669,1695,1650,1900,1685
"25","Brooklyn","Brooklyn",2500,2500,2500,2595,2600,2650,2700,2700,2695,2667,2600,2599,2600,2650,2650,2700,2700,2699,2695,2600,2500,2450,2400,2400,2399,2399,2400,2400,2450,2500,2599,2650,2675,2600,2600,2675
"26","Brooklyn Heights","Brooklyn",3100,3215,3500,3500,3381,3505,3400,3626,3636,3690,3620,3605,3727,3540,3500,3754,3480,3200,3250,2971,2960,2850,2800,2816,2798,2795,2700,2800,2950,2900,2947,3100,3500,3379,3306,3713
"28","Brownsville","Brooklyn",2100,2100,2100,1950,2100,2325,1997,1900,2000,2000,1973,2000,2000,1987,2000,1843,1868,1888,1925,2314,2295,1908,2150,2200,2000,1850,1995,1900,1900,1900,2099,2050,2050,2000,2000,1987
"29","Bushwick","Brooklyn",2500,2549,2590,2650,2650,2625,2750,2800,2799,2799,2749,2650,2775,2800,2750,2650,2600,2571,2595,2500,2475,2399,2397,2350,2350,2399,2399,2400,2450,2500,2658,2800,2805,2800,2800,2800
"31","Canarsie","Brooklyn",2000,1990,2200,2000,2000,2100,2100,2100,1958,2100,2100,2100,2200,2200,2300,2250,2250,2200,2175,2200,2300,2300,2300,2177,2100,2200,2075,1950,1975,2195,2095,2050,2098,2200,2250,2399
"32","Carroll Gardens","Brooklyn",3150,2900,2775,2850,2950,2995,3200,3400,3625,3475,3200,3275,3200,3400,3390,3300,3475,3000,3000,3000,2812,2750,2650,2500,2500,2500,2500,2600,2600,2800,2900,3225,3000,3125,3950,3500
"34","Central Harlem","Manhattan",2450,2463,2495,2580,2650,2700,2655,2695,2600,2535,2548,2495,2500,2500,2500,2500,2600,2595,2550,2495,2400,2397,2395,2380,2300,2300,2300,2300,2350,2400,2450,2400,2450,2450,2400,2495
"35","Central Park South","Manhattan",7500,7500,7450,7475,6750,6950,6862,6700,6600,7450,7450,7475,7995,7575,7950,8100,7475,7200,6190,6185,6461,6500,6800,6500,6995,7100,6800,7075,6800,7200,7300,7400,8250,8500,8500,9775
"36","Central Queens","Queens",2095,2100,2100,2193,2195,2249,2264,2250,2200,2100,2139,2133,2150,2199,2200,2200,2200,2200,2200,2155,2100,2050,2000,2000,2000,2000,2000,2000,2100,2100,2126,2100,2150,2150,2200,2250
"37","Chelsea","Manhattan",4000,4250,4150,4245,4295,4462,4403,4358,4295,4295,4280,4221,4095,4175,4195,3977,3850,3838,3640,3550,3419,3339,3300,3400,3400,3495,3595,3500,3668,3900,4195,4453,4515,4695,4795,4650
"38","Chinatown","Manhattan",2700,2800,2563,2700,2700,3000,3000,2600,2500,3000,2950,3200,3275,2695,3300,3000,2985,2918,2750,2675,2433,2400,2400,2350,2398,2348,2300,2500,2450,2473,2495,2500,2800,3025,2650,2495
"42","Clinton Hill","Brooklyn",2950,2950,3000,2980,3163,3250,3100,3100,2950,3075,3000,2973,2954,3100,2995,2995,2993,2975,2895,2800,2700,2650,2625,2600,2600,2595,2595,2600,2650,2700,2850,3109,3109,3000,2863,3100
"44","Cobble Hill","Brooklyn",3200,3250,3198,3140,3140,3300,3631,3800,3650,3575,3400,3640,3125,3400,3350,3500,3350,3200,3000,2915,2888,2800,2800,2850,2800,2725,2850,2600,2800,2750,2950,3250,3300,3350,3225,3800
"46","Columbia St Waterfront District","Brooklyn",2800,2850,2500,2600,3100,2938,3000,3200,3000,3000,3000,2500,2950,2650,2650,3000,2688,2600,3000,2917,2800,2600,2515,2500,2500,2500,2540,2500,2225,2325,2520,2500,2900,2700,2900,3200
"47","Concourse","Bronx",1825,1695,1700,1800,1800,1695,1775,1700,1698,1698,1700,1800,1800,1832,1897,1924,1895,1785,1700,1749,1749,1700,1675,1650,1775,1900,1800,1925,1945,1850,1925,1900,1833,1888,1995,1797
"48","Coney Island","Brooklyn",2238,2150,2175,2075,2194,2250,2313,2250,2199,2150,2175,2300,2390,2475,2365,2238,2250,2250,2250,2315,2330,2303,2251,2251,2239,2119,2119,2100,2150,2129,2119,2186,2157,2225,2350,2096
"49","Corona","Queens",2365,2155,2018,2255,2294,2305,2215,2157,1833,1886,1913,1986,2075,1909,1874,1875,1886,1868,1911,1902,1821,1806,1809,1815,1828,1916,2108,1815,1796,1823,1915,1950,1936,1768,1934,2196
"52","Crown Heights","Brooklyn",2400,2399,2400,2495,2500,2500,2595,2600,2600,2580,2500,2500,2550,2625,2550,2500,2499,2450,2499,2500,2400,2300,2250,2260,2275,2295,2250,2300,2325,2399,2450,2499,2500,2500,2525,2550
"53","DUMBO","Brooklyn",4564,4333,4650,4498,4495,4613,4875,4964,4750,4500,4895,4980,4973,5152,4850,4600,4500,4498,4496,4250,4500,4495,4495,4095,4000,3900,3900,4150,4150,4225,4500,4595,4675,4650,4795,4850
"54","Ditmas Park","Brooklyn",2250,2215,2175,2215,2294,2250,2250,2200,2275,2200,2303,2307,2200,2199,2397,2295,2200,2199,2200,2100,2095,1970,1900,1899,1900,1900,1949,1949,2000,2000,1950,2175,2125,2250,2195,2100
"56","Downtown Brooklyn","Brooklyn",3336,3299,3367,3480,3462,3500,3612,3645,3600,3500,3400,3366,3482,3440,3332,3193,3237,3250,3200,3050,2900,2888,2938,2995,3000,3000,3097,3278,3400,3620,3650,3907,3973,3901,3882,3950
"57","Dyker Heights","Brooklyn",1899,2000,2160,1800,2000,2099,2195,1990,1940,2000,2100,2050,2100,2200,2125,2150,2050,2150,2050,2150,2000,2050,2100,2100,1800,1850,1850,2000,2100,2000,1900,2100,2163,2125,1900,1999
"58","East Brooklyn","Brooklyn",2450,2485,2500,2500,2550,2550,2600,2650,2650,2625,2599,2500,2599,2600,2588,2550,2550,2500,2500,2500,2400,2346,2300,2300,2299,2300,2300,2350,2400,2450,2567,2650,2700,2699,2699,2700
"60","East Flatbush","Brooklyn",2195,2000,2200,2200,2125,2100,2100,2100,2166,2166,2150,2200,2200,2195,2200,2185,2250,2203,2205,2195,2100,2100,2100,2150,2150,2260,2197,2100,2199,2185,2100,2100,2125,2099,2168,2200
"61","East Harlem","Manhattan",2250,2383,2400,2400,2430,2400,2500,2450,2440,2400,2386,2375,2400,2400,2450,2495,2450,2300,2342,2295,2250,2195,2150,2077,2097,2000,2000,2095,2190,2250,2295,2295,2275,2250,2263,2300
"62","East New York","Brooklyn",2075,2150,2100,2125,2100,2150,2200,2150,2200,2250,2200,2200,2225,2250,2225,2195,2250,2250,2200,2193,2119,2100,2095,2100,2150,2140,2150,2150,2138,2100,2190,2100,2200,2199,2250,2300
"64","East Village","Manhattan",3097,3187,3198,3400,3500,3595,3550,3450,3400,3400,3400,3114,3200,3240,3200,3250,3250,3200,3100,2995,2850,2749,2699,2600,2595,2520,2600,2700,2850,3150,3400,3395,3400,3495,3500,3700
"67","Elmhurst","Queens",1925,1900,1900,1900,1925,2182,2100,2100,1850,1950,1935,1875,1938,2000,2050,2067,2100,2000,1950,1900,1897,1800,1775,1850,1775,1750,1780,1800,1850,1900,1800,1811,1950,1988,2025,1998
"68","Financial District","Manhattan",3698,3753,3667,3860,3827,3850,3850,3757,3771,3750,3755,3700,3752,3776,3750,3577,3514,3450,3300,3295,3200,3200,3175,3150,3150,3238,3291,3355,3395,3637,4000,4100,4400,4400,4350,4450
"69","Flatbush","Brooklyn",2085,2152,2095,2165,2150,2244,2249,2250,2300,2310,2299,2329,2380,2300,2300,2300,2275,2293,2250,2250,2150,2150,2077,2100,2099,2099,2050,2099,2175,2200,2200,2250,2250,2400,2399,2300
"70","Flatiron","Manhattan",4778,4890,4795,4830,4950,4950,4993,5195,5125,4928,4938,4895,4825,4695,4900,4500,4300,4295,4100,4000,4245,4000,3963,3983,4000,4175,4150,4314,4400,4800,5302,5451,5600,5518,5500,5402
"73","Flushing","Queens",1885,1900,1938,1950,1950,1998,2000,1925,1900,1837,1842,1850,1890,2050,2150,1850,1875,2195,2100,2000,2100,2050,2000,2095,1900,1900,1950,2018,1993,2045,2100,2000,1950,1800,1825,1950
"74","Fordham","Bronx",1750,1750,1698,1700,1800,2000,1923,1750,1883,1695,1625,1650,1623,1738,1725,1750,1700,1650,1650,1640,1675,1835,1750,1663,1750,1675,1854,1875,1839,1875,1888,1700,1850,1795,1650,1738
"75","Forest Hills","Queens",2045,2000,2048,2095,2100,2100,2200,2295,2200,2149,2100,2160,2100,2150,2100,2100,2048,2000,2000,2000,2000,2000,2000,1995,1995,1995,1950,1950,1995,1993,1975,1995,2063,2150,2100,2100
"76","Fort Greene","Brooklyn",2800,2895,3000,3300,3500,3309,3375,3325,3000,3100,3131,3195,3250,3100,3373,3200,3185,2954,2900,2883,2800,2820,2800,2800,2750,2628,2745,2700,2807,2905,3167,3382,3495,3450,3600,3600
"80","Glendale","Queens",2000,2000,2292,2246,2113,2000,2100,2200,2273,2200,2100,2100,2185,2175,2375,2400,2275,2200,2215,2200,2200,2225,2082,2013,2099,2000,2000,2000,2000,2100,2000,2250,2300,2000,2200,2200
"81","Gowanus","Brooklyn",3110,2900,2653,2700,2893,3395,3020,3000,3500,3250,3200,3167,2800,3025,3300,3100,3000,2700,2636,2665,2880,2729,2700,2794,2600,2625,2595,2725,2800,2973,2975,2900,2865,3100,3098,3000
"82","Gramercy Park","Manhattan",3525,3785,3800,3795,3995,4183,4295,4100,4104,3800,3800,3895,3938,3750,3773,3500,3475,3500,3395,3297,3228,3175,3100,3100,3000,2900,2893,2950,2950,3100,3375,3450,3800,4000,3900,4445
"83","Gravesend","Brooklyn",1700,1713,1750,1750,1795,1742,1799,1799,1871,1900,1900,1800,1950,1950,1825,1775,1800,1813,1875,1800,1825,1776,1776,1700,1713,1750,1758,1750,1800,1800,1800,1810,1825,1875,1975,1875
"84","Greenpoint","Brooklyn",2849,2799,2750,2850,3135,3100,3200,3315,3300,3100,2999,2968,3100,3274,3200,3000,3000,2999,2900,2960,2800,2667,2700,2650,2600,2700,2700,2725,2800,2997,3374,3400,3400,3400,3400,3500
"85","Greenwich Village","Manhattan",4195,3795,3775,3698,3995,3800,4000,3995,4595,4625,4398,4295,4200,4000,4000,3700,3698,3525,3500,3300,3250,3200,3000,3000,3088,3198,3150,3100,3200,3498,3600,4000,3995,4400,4250,4500
"86","Greenwood","Brooklyn",2250,2350,2300,2348,2494,2450,2499,2550,2400,2499,2500,2450,2500,2500,2550,2500,2500,2500,2400,2400,2200,2200,2050,2100,2100,2000,2000,2100,2213,2200,2275,2350,2350,2400,2400,2399
"87","Hamilton Heights","Manhattan",2350,2395,2450,2500,2500,2548,2544,2600,2575,2450,2450,2425,2350,2500,2600,2695,2500,2500,2475,2390,2300,2350,2295,2295,2292,2250,2200,2250,2295,2300,2350,2350,2363,2400,2400,2500
"88","Highbridge","Bronx",2196,2166,1850,1630,1636,1850,1948,1850,1675,1750,1800,1900,1935,1945,1800,1952,1902,1902,2000,1843,1825,1875,1799,1700,1650,1713,1852,1796,1880,1900,1902,1904,1850,1825,1698,1875
"93","Inwood","Manhattan",1800,1950,1918,1950,1895,1963,2060,2050,2065,2100,2000,2000,2025,2050,1995,2075,2000,1925,1929,2000,1925,1875,1875,1850,1850,1915,1930,1899,1850,1800,1850,1850,1900,1925,1925,1949
"94","Jackson Heights","Queens",1788,1800,1850,1900,1989,2000,2100,2008,2000,1950,2000,1997,2099,2100,2000,2000,1957,1999,1999,1950,1950,1950,1875,1800,1800,1838,1850,1800,1800,1850,1900,1900,1900,2000,2100,2000
"95","Jamaica","Queens",2170,1993,2100,2170,2170,2170,2170,2185,2200,2200,2200,2200,2188,2229,2263,2175,2075,1994,2111,1999,2002,2083,2100,2016,2163,2248,2000,2000,2100,2200,2225,2565,2313,2409,2442,2363
"96","Jamaica Estates","Queens",1550,2098,1799,1785,1895,1895,1884,1849,1800,1750,1625,1785,1895,2075,2275,2275,1825,1850,1900,2005,1873,1960,1800,1850,1775,1960,2180,1905,1848,1928,1960,1935,1900,1850,1850,1825
"98","Kensington","Brooklyn",2100,2150,2000,2200,2100,2100,2250,2295,2372,2175,2200,2000,2000,2273,2250,2249,2163,2200,2154,2100,2000,1900,1880,1878,1875,1850,1800,1795,1800,1935,1990,2100,2250,2200,2095,2149
"99","Kew Gardens","Queens",1850,1895,1900,1995,2050,2062,1975,1975,1900,1875,1836,1863,1895,2000,1955,1950,1850,1813,1850,1825,1853,1800,1900,1800,1875,1900,1850,1800,1800,1850,1875,1900,1895,1950,1995,2060
"100","Kew Gardens Hills","Queens",1895,2013,1878,1856,1833,2025,2008,1929,1950,1985,1913,1810,1925,1898,1898,1810,1810,2100,2050,2000,1880,1978,1950,1825,1900,1900,1900,2000,2012,1950,2050,1750,2100,2000,2050,1999
"101","Kingsbridge","Bronx",1673,1828,1888,1838,1963,1825,1750,1875,1873,1800,1700,1813,1850,1785,1850,1950,1713,1785,1813,1768,1795,1790,1900,1788,1850,1799,1775,1798,1800,1800,1800,1938,1850,1750,1700,1814
"104","Little Italy","Manhattan",3200,3048,3000,3550,3350,3400,3200,3563,3450,3400,3350,3300,3200,3460,3473,3424,3200,3200,2995,2750,2900,2700,2675,2625,2398,2400,2400,2700,2500,2775,2739,2900,2850,2995,2995,3073
"106","Long Island City","Queens",3051,3000,3070,3185,3250,3271,3298,3383,3300,3325,3253,3195,3158,3152,3172,3138,3100,3078,2993,2900,2873,2999,3000,2975,2950,2950,2925,2950,3019,3195,3250,3400,3460,3525,3600,3700
"108","Lower East Side","Manhattan",3200,3250,3250,3400,3575,3600,3450,3500,3550,3600,3666,3700,3800,3900,3920,3690,3470,3199,3000,2985,2800,2800,2795,2750,2750,2700,2750,2820,3000,3100,3273,3425,3500,3500,3600,3600
"109","Manhattan","Manhattan",3265,3300,3300,3400,3450,3500,3499,3495,3500,3500,3500,3500,3500,3500,3500,3450,3300,3200,3100,2995,2900,2800,2799,2795,2750,2795,2795,2800,2895,2950,3000,3100,3200,3300,3450,3500
"113","Maspeth","Queens",2100,2100,2200,2100,2050,2200,2200,2100,2225,2100,2050,1975,1950,2148,2273,2175,2250,2250,2292,2176,2000,1925,1917,1900,1904,2000,2100,2098,2200,2099,2170,2170,2170,2100,2199,2199
"115","Middle Village","Queens",2099,1950,2199,2200,2200,2000,2200,2050,2300,2450,2450,2100,2200,2300,2287,2287,2399,2400,2275,2238,2200,2100,2199,1975,2200,2000,2000,2200,2100,2100,1975,2100,2199,2100,2248,2300
"116","Midtown","Manhattan",3893,3900,4000,4000,4200,4200,4116,4000,4125,4295,4380,4300,4064,4137,4155,3950,3698,3537,3500,3664,3600,3500,3500,3500,3400,3500,3500,3500,3810,3855,3975,4200,4500,4700,4578,4750
"117","Midtown East","Manhattan",3387,3398,3400,3422,3495,3500,3576,3595,3564,3525,3600,3500,3575,3512,3500,3405,3295,3100,3000,2929,2842,2750,2700,2700,2700,2800,2828,2900,3000,3100,3300,3495,3695,3695,3995,3995
"118","Midtown South","Manhattan",3790,3900,3995,3923,4000,4128,4150,4075,4170,4012,4012,4100,3992,4200,4156,3761,3696,3575,3440,3281,3200,3300,3100,3175,3200,3250,3275,3390,3600,3975,4070,4358,4591,4600,4595,4905
"119","Midtown West","Manhattan",3444,3500,3500,3500,3575,3600,3650,3700,3654,3600,3650,3660,3650,3644,3648,3500,3300,3200,3042,2950,2899,2899,2846,2800,2899,2895,2933,3000,3000,3175,3425,3500,3700,3840,3900,4000
"120","Midwood","Brooklyn",1850,1847,1850,1899,1900,1875,1900,2075,1950,1975,2000,2100,2100,2050,2100,2077,2055,2000,1937,1950,1865,1850,1850,1850,1850,1795,1800,1850,1950,1995,1976,1975,2096,1999,2100,2150
"122","Morningside Heights","Manhattan",2985,2845,2917,2998,3088,3350,3226,3300,3295,3090,3200,3200,3200,3200,3200,3089,3367,3350,3170,2950,2862,2896,2850,2999,3200,3000,3200,3364,3443,3300,3300,3335,3095,3450,3600,3200
"126","Mott Haven","Bronx",2025,2295,2238,2250,2250,2475,2455,2383,2350,2295,2185,2189,2275,2389,2389,2350,2175,2100,2259,2220,2200,2200,2280,2259,2275,2200,2245,2310,2350,2300,2400,2450,2500,2481,2502,2500
"127","NYC","",2695,2700,2700,2800,2850,2900,2950,2945,2924,2900,2895,2895,2900,2900,2900,2995,2933,2880,2800,2729,2636,2550,2500,2500,2495,2499,2495,2500,2500,2599,2675,2700,2727,2700,2700,2800
"129","Nolita","Manhattan",3375,3498,3563,3750,3850,3795,3795,3895,3795,3795,3825,3895,3750,3895,3795,3750,3500,3500,3400,3200,3000,2995,2910,2800,2755,2625,2650,2695,3000,3573,3700,4095,3995,4100,3695,3673
"130","North Brooklyn","Brooklyn",2950,2990,2951,3138,3247,3250,3375,3400,3484,3495,3455,3499,3425,3482,3400,3395,3258,3151,3100,3000,2890,2800,2800,2775,2723,2800,2800,2800,2800,3050,3400,3600,3737,3595,3694,3750
"132","Northeast Queens","Queens",1925,1963,1999,1995,1975,2000,2000,1975,1992,1900,1875,1883,1929,1950,1995,1913,1900,1995,2000,1900,2000,1950,1972,1950,1875,1850,1850,1850,1851,1875,1895,1900,1950,1950,1950,1995
"133","Northwest Brooklyn","Brooklyn",3095,3080,3121,3277,3333,3400,3400,3410,3410,3400,3300,3300,3366,3350,3347,3275,3279,3176,3100,3000,2900,2850,2800,2800,2760,2795,2800,2867,2950,3000,3190,3340,3500,3486,3596,3725
"134","Northwest Queens","Queens",2300,2300,2300,2383,2400,2400,2450,2499,2500,2550,2550,2500,2550,2577,2500,2600,2500,2425,2399,2300,2250,2195,2150,2095,2095,2095,2000,2107,2200,2295,2300,2400,2400,2400,2400,2500
"135","Norwood","Bronx",1675,1475,1500,1598,1600,1625,1650,1722,1750,1760,1822,1675,1675,1737,1525,1650,1650,1638,1850,1850,1745,1720,1550,1613,1950,1795,1563,1650,1700,1700,1595,1600,1898,1550,1950,2255
"140","Park Slope","Brooklyn",2850,2850,2895,2900,3000,3000,3100,3100,3000,3295,3000,2995,3000,3200,3150,3000,3148,3000,2995,2900,2800,2797,2700,2650,2695,2675,2600,2600,2650,2700,2790,2950,3000,3125,3175,3100
"147","Prospect Heights","Brooklyn",2950,2850,2800,2900,2925,2995,3162,3000,3450,3262,3223,3450,3263,3050,3025,3213,3150,3100,3000,2913,2800,2704,2650,2600,2680,2600,2600,2680,2800,2900,3000,3150,3150,3000,3223,3450
"148","Prospect Lefferts Gardens","Brooklyn",2250,2299,2395,2350,2399,2459,2385,2400,2300,2400,2281,2200,2400,2347,2285,2400,2450,2350,2395,2300,2195,2199,2100,2000,2000,2000,1995,1995,2195,2200,2400,2406,2499,2400,2350,2300
"149","Prospect Park","Brooklyn",2599,2595,2599,2700,2795,2800,2800,2800,2775,2850,2700,2700,2700,2733,2700,2700,2800,2800,2750,2695,2547,2500,2495,2475,2475,2425,2400,2425,2500,2500,2650,2700,2773,2700,2700,2700
"150","Prospect Park South","Brooklyn",2150,2150,2195,2200,2250,2250,2250,2200,2199,2154,1999,2242,2200,2100,2100,2195,2199,2199,2195,2150,2099,2086,1995,1897,1900,1850,1895,1895,2100,2250,2300,2150,2325,2198,2250,2250
"151","Queens","Queens",2200,2200,2200,2250,2250,2300,2300,2300,2300,2300,2299,2250,2300,2350,2350,2395,2350,2300,2300,2200,2200,2100,2100,2025,2000,2000,2000,2050,2100,2188,2200,2248,2250,2250,2250,2300
"153","Red Hook","Brooklyn",2613,2700,2750,2700,2700,2950,2700,2700,2750,2749,2700,2700,2600,2575,2700,2675,2850,2800,2700,2675,2500,2200,2425,2550,2500,2500,2300,2300,2300,2400,2300,2200,2100,3100,3150,2903
"154","Rego Park","Queens",2000,2057,2150,2098,1950,2060,2100,2150,2200,2000,2113,2103,2128,2100,2100,2100,2100,2100,1945,1900,1946,1900,1938,1945,2000,2000,1850,1950,2000,2030,2100,1950,2000,2000,2068,2200
"156","Ridgewood","Queens",2375,2300,2400,2500,2599,2673,2700,2700,2500,2500,2497,2400,2500,2500,2474,2500,2525,2540,2500,2425,2397,2299,2250,2250,2250,2200,2200,2200,2299,2400,2500,2597,2550,2499,2550,2542
"157","Riverdale","Bronx",2250,2200,2200,2200,2200,2200,2297,2300,2295,2300,2300,2300,2380,2398,2400,2473,2350,2385,2450,2450,2473,2395,2300,2250,2293,2347,2215,2250,2300,2397,2380,2499,2550,2563,2465,2330
"158","Rockaway All","Queens",1900,1900,1850,1997,1895,2050,2050,2065,1999,2000,1997,2000,1942,1800,1800,1800,1998,1825,1925,1924,1868,1900,1900,2050,1912,1912,1750,1900,2017,2050,2000,2200,2209,2200,2075,1973
"159","Roosevelt Island","Manhattan",3423,3224,3250,3345,3278,3593,3595,3500,3595,3610,3795,3398,3400,3243,3106,3092,3200,3200,3300,3300,3325,3295,3310,3200,2900,2900,2875,3102,3185,3022,3385,3469,3350,3465,3715,3844
"163","Sheepshead Bay","Brooklyn",1750,1750,1800,1800,1925,1835,1835,2000,1998,1845,1950,1950,2185,1900,1850,2255,2005,2025,2000,2010,1875,1900,1990,1900,1863,1900,1895,1800,1850,1850,1850,1863,1997,2000,1900,1883
"164","Soho","Manhattan",6200,6450,4840,4650,5100,5050,5195,5223,5223,5200,6650,6348,5095,4500,5450,5450,4495,4323,4100,4025,4100,3995,4146,4000,3825,3995,3992,3995,4200,4720,4800,5800,5700,6800,6800,6000
"165","Soundview","Bronx",1725,1513,1950,2025,1947,1813,1513,1650,1765,1850,1969,1895,2073,1850,2000,2000,1895,1699,1850,2075,1687,1862,1862,1831,1950,2036,2011,2021,2075,1838,2048,1950,1850,1925,2250,2100
"166","South Brooklyn","Brooklyn",2000,2000,2000,2050,2100,2095,2100,2100,2100,2100,2100,2177,2199,2195,2200,2200,2178,2150,2150,2100,2009,1999,1950,1925,1900,1900,1900,1900,1950,2000,2000,2095,2100,2100,2100,2099
"169","South Queens","Queens",1988,1869,1934,2000,1995,1900,2075,2000,2113,2000,2000,2000,2000,2200,2200,2100,1925,1902,2003,2000,2000,2000,2000,2000,2000,2100,1975,1995,1995,1995,2000,2225,2120,2170,2200,2200
