"","areaName","Borough","X2019.01","X2019.02","X2019.03","X2019.04","X2019.05","X2019.06","X2019.07","X2019.08","X2019.09","X2019.10","X2019.11","X2019.12","X2020.01","X2020.02","X2020.03","X2020.04","X2020.05","X2020.06","X2020.07","X2020.08","X2020.09","X2020.10","X2020.11","X2020.12","X2021.01","X2021.02","X2021.03","X2021.04","X2021.05","X2021.06","X2021.07","X2021.08","X2021.09","X2021.10","X2021.11","X2021.12"
"1","All Downtown","Manhattan",3800,3850,3799,3925,4000,4050,4000,3995,4000,4028,4042,4000,4000,3995,3995,3848,3700,3600,3500,3385,3295,3195,3100,3125,3100,3175,3195,3200,3321,3550,3800,4000,4173,4300,4350,4383
"2","All Midtown","Manhattan",3500,3550,3536,3576,3625,3675,3700,3700,3700,3687,3718,3700,3700,3700,3695,3574,3380,3235,3100,3000,2966,2900,2895,2890,2900,2910,2990,3000,3150,3250,3495,3600,3850,3950,4098,4154
"3","All Upper East Side","Manhattan",3000,3000,2995,2990,3000,3050,3050,2995,3000,3100,3208,3295,3275,3250,3250,3150,3050,2950,2800,2700,2650,2500,2495,2499,2450,2450,2400,2400,2455,2495,2550,2700,2850,2925,3200,3300
"4","All Upper Manhattan","Manhattan",2300,2333,2375,2400,2450,2500,2500,2495,2442,2395,2350,2350,2383,2400,2450,2458,2430,2400,2400,2350,2295,2250,2205,2200,2199,2175,2185,2200,2250,2295,2300,2300,2300,2300,2300,2350
"5","All Upper West Side","Manhattan",3395,3350,3381,3450,3450,3450,3400,3500,3600,3600,3615,3536,3600,3550,3500,3400,3295,3200,3124,3000,2912,2800,2800,2800,2795,2818,2800,2839,2999,3000,3180,3274,3511,3607,3800,3976
"6","Astoria","Queens",2199,2200,2200,2200,2250,2300,2350,2350,2350,2350,2300,2300,2333,2395,2300,2300,2277,2246,2200,2155,2100,2000,2000,1995,1950,1950,1900,1950,1999,2000,2100,2200,2200,2200,2200,2250
"8","Bath Beach","Brooklyn",1700,1575,1695,1675,1695,1750,1799,1795,1795,1850,1795,1795,1795,1900,2025,2025,1875,1800,1900,2000,1795,1700,1785,1695,1698,1750,1799,1750,1733,1799,1700,1750,1699,1699,1750,1750
"9","Battery Park City","Manhattan",4360,4498,4305,4460,4950,5200,5278,4700,4659,4923,5271,4995,4416,4154,4172,4190,4495,4460,4216,4216,4129,3900,3750,3800,3750,3900,3955,3973,3889,4055,4300,4475,4375,4250,4398,5350
"10","Bay Ridge","Brooklyn",1900,1999,2000,1980,1950,1900,1900,1950,1895,1900,2000,1950,1895,2000,2100,2071,1995,2000,2000,1950,1950,1850,1800,1750,1750,1750,1799,1750,1750,1750,1750,1800,1795,1775,1799,1775
"12","Bayside","Queens",2150,2200,2150,2050,2000,2100,2000,2150,2200,2175,2125,2150,2100,1900,2000,1875,1975,2170,2125,2063,2000,1988,2000,2025,2000,1995,1863,1850,1850,2075,2063,2200,2200,2150,2200,2163
"13","Bedford Park","Bronx",1875,1720,1650,1550,1605,1595,1600,1775,1786,1750,1750,1699,1699,2008,1625,1625,1625,1625,1648,1695,1700,1601,1625,1625,1725,1662,1850,1680,1613,1625,1638,1625,1902,1775,1525,1650
"14","Bedford-Stuyvesant","Brooklyn",2429,2450,2500,2500,2550,2523,2599,2612,2600,2650,2620,2520,2590,2537,2537,2537,2550,2550,2500,2500,2400,2300,2300,2250,2250,2250,2262,2300,2383,2475,2599,2650,2700,2700,2750,2800
"16","Belmont","Bronx",1998,2200,2225,1850,1938,1850,2050,2400,2200,2200,2200,1850,1800,1750,1688,1695,2500,2298,2295,2295,2125,2075,2125,2225,2200,2223,2100,2200,2215,2000,2025,2150,2000,2199,2300,1850
"17","Bensonhurst","Brooklyn",1850,1850,1900,1800,1900,1700,1700,1700,1700,1750,1750,1825,1962,1995,1999,1775,1700,1750,1650,1800,1800,1700,1600,1525,1550,1625,1738,1650,1650,1700,1695,1700,1750,1750,1699,1795
"19","Boerum Hill","Brooklyn",3000,2950,2950,3300,3361,3388,3395,3500,3300,3399,3399,3300,3300,3350,3275,3300,3375,3275,3188,3150,3000,2825,2750,2700,2600,2663,2700,2775,2800,2850,2995,2850,2800,3000,3000,3600
"20","Borough Park","Brooklyn",1850,1863,1875,1900,1875,1863,1898,1995,1947,2075,1950,1888,1825,1950,2049,1778,1849,1700,1752,1850,1795,1795,1797,1795,1799,1700,1700,1825,1800,1800,1849,1900,1950,1875,1900,1650
"21","Briarwood","Queens",1775,1715,1795,1748,1750,1825,1757,1750,1888,1850,1823,1750,1786,1770,1770,1725,1698,1780,1795,1726,1750,1750,1725,1725,1725,1725,1725,1725,1725,1725,1725,1725,1725,1725,1725,1785
"22","Brighton Beach","Brooklyn",2100,2185,2138,1950,1975,2098,2050,1995,1950,2050,2050,1898,1910,1935,2199,2149,2063,2048,2024,2200,2125,1995,1995,1975,1895,1750,1800,1850,1887,1863,1850,1948,2245,2213,2000,2200
"23","Bronx","Bronx",1899,1850,1875,1887,1895,1900,1900,1950,1999,1970,1944,1925,1950,1950,1997,2000,1990,1995,2000,1995,1995,1925,1900,1900,1900,1942,1910,1950,2000,2000,2050,2052,2000,2000,2095,2100
