"Date","Borough","Low_income","Total"
2020-06-30,"Brooklyn",2,2
2020-06-30,"Brooklyn",1,1
2020-06-30,"Queens",2,2
2020-06-30,"Queens",0,1
2020-06-30,"Bronx",0,2
2020-06-30,"Queens",1,1
2020-06-30,"Brooklyn",1,1
2020-06-30,"Queens",2,2
2020-06-30,"Queens",1,1
2020-06-30,"Queens",0,2
2020-06-30,"Bronx",1,1
2020-06-30,"Bronx",1,1
2020-06-30,"Bronx",2,2
2020-06-29,"Brooklyn",0,10
2020-06-29,"Brooklyn",0,6
2020-06-29,"Manhattan",2,8
2020-06-28,"Queens",0,7
2020-06-27,"Queens",0,10
2020-06-27,"Brooklyn",0,6
2020-06-26,"Manhattan",21,21
2020-06-26,"Bronx",1,1
2020-06-26,"Queens",0,7
2020-06-26,"Brooklyn",0,3
2020-06-26,"Brooklyn",0,13
2020-06-25,"Staten Island",1,1
2020-06-25,"Brooklyn",0,24
2020-06-25,"Brooklyn",0,8
2020-06-24,"Brooklyn",0,3
2020-06-24,"Brooklyn",0,13
2020-06-23,"Brooklyn",0,25
2020-06-22,"Brooklyn",0,8
2020-06-19,"Bronx",1,1
2020-06-19,"Brooklyn",0,12
2020-06-18,"Queens",102,103
2020-06-17,"Brooklyn",0,8
2020-06-17,"Bronx",0,43
2020-06-16,"Bronx",0,46
2020-06-16,"Brooklyn",0,2
2020-06-16,"Brooklyn",0,12
2020-06-15,"Brooklyn",0,10
2020-06-15,"Brooklyn",0,15
2020-06-12,"Queens",1,1
2020-06-11,"Brooklyn",0,3
2020-06-11,"Brooklyn",0,13
2020-06-08,"Brooklyn",0,26
2020-06-05,"Brooklyn",0,3
2020-06-05,"Brooklyn",0,17
2020-06-05,"Brooklyn",0,8
2020-06-03,"Brooklyn",0,8
2020-06-03,"Brooklyn",0,24
2020-06-02,"Brooklyn",0,52
2020-06-02,"Brooklyn",0,8
2020-06-01,"Manhattan",0,23
2020-06-01,"Brooklyn",0,13
2020-05-29,"Brooklyn",0,10
2020-05-27,"Brooklyn",0,10
2020-05-27,"Brooklyn",0,32
2020-05-26,"Brooklyn",0,12
2020-05-21,"Bronx",0,15
2020-05-20,"Bronx",0,10
2020-05-19,"Brooklyn",0,8
2020-05-18,"Brooklyn",0,8
2020-05-18,"Bronx",0,16
2020-05-15,"Brooklyn",0,48
2020-05-15,"Brooklyn",0,68
2020-05-14,"Queens",19,103
2020-05-14,"Brooklyn",0,30
2020-05-14,"Manhattan",0,30
2020-05-13,"Bronx",0,12
2020-05-13,"Brooklyn",0,10
2020-05-11,"Brooklyn",34,134
2020-05-06,"Bronx",0,8
2020-05-04,"Brooklyn",0,22
2020-04-20,"Brooklyn",0,10
