DBN,School Name,# Total Students,# Students in Temporary Housing,% Students in Temporary Housing,# Students Residing in Shelter,# Residing in DHS Shelter,# Residing in Non-DHS Shelter,# Doubled Up
22K889,P.S. 889,139,7,5.0%,s,s,s,s
22K890,M.S. 890,218,17,7.8%,s,s,s,13
23K041,P.S. 041 Francis White,416,86,20.7%,50,41,9,29
23K137,P.S./I.S. 137 Rachel Jean Mitchell,298,51,17.1%,34,27,7,17
23K150,P.S. 150 Christopher,230,51,22.2%,23,17,6,21
23K155,P.S./ I.S. 155 Nicholas Herkimer,468,109,23.3%,66,60,6,39
23K156,P.S. 156 Waverly,676,132,19.5%,86,62,24,32
23K165,P.S. 165 Ida Posner,322,44,13.7%,27,16,11,12
23K178,P.S. 178 Saint Clair Mckelway,382,102,26.7%,69,54,15,33
23K184,P.S. 184 Newport,558,110,19.7%,61,36,25,32
23K284,"The Gregory Jocko Jackson School of Sports, Art, a",314,49,15.6%,41,29,12,6
23K298,P.S. 298 Dr. Betty Shabazz,306,73,23.9%,39,27,12,32
23K323,P.S./I.S. 323,647,130,20.1%,109,94,15,16
23K327,P.S. 327 Dr. Rose B. English,332,97,29.2%,64,50,14,27
23K363,Brownsville Collaborative Middle School,290,59,20.3%,38,29,9,19
23K392,I.S. 392,310,23,7.4%,11,s,s,11
23K401,Christopher Avenue Community School,338,104,30.8%,89,72,17,15
23K444,Home Schooling,76,12,15.8%,11,s,s,s
23K446,Riverdale Avenue Community School,420,100,23.8%,54,s,s,45
23K493,Brooklyn Collegiate: A College Board School,285,41,14.4%,26,16,10,13
23K514,Frederick Douglass Academy VII High School,155,23,14.8%,16,10,6,s
23K518,Kappa V (Knowledge and Power Preparatory Academy),195,32,16.4%,13,6,7,18
23K522,Mott Hall IV,175,19,10.9%,12,s,s,s
23K599,Brooklyn Landmark Elementary School,402,59,14.7%,29,17,12,26
23K643,Brooklyn Democracy Academy,236,35,14.8%,19,7,12,9
23K644,Eagle Academy for Young Men II,647,71,11.0%,47,24,23,21
23K647,Metropolitan Diploma Plus High School,233,26,11.2%,16,s,s,s
23K664,Brooklyn Environmental Exploration School (BEES),113,31,27.4%,21,13,8,6
23K668,Riverdale Avenue Middle School,144,41,28.5%,20,s,s,20
23K671,Mott Hall Bridges Academy,200,36,18.0%,25,s,s,10
23K697,Teachers Preparatory High School,222,43,19.4%,31,19,12,9
23K700,Universal Pre-K C.B.O.,515,44,8.5%,19,s,s,23
24Q005,I.S. 5 - The Walter Crowley Intermediate School,1828,85,4.6%,38,31,7,47
24Q007,P.S. 007 Louis F. Simeone,1415,82,5.8%,10,s,s,71
24Q012,P.S. 012 James B. Colgate,1177,118,10.0%,s,s,s,113
24Q013,P.S. 013 Clement C. Moore,1538,264,17.2%,6,s,s,258
24Q014,P.S. 014 Fairview,1610,90,5.6%,7,s,s,76
24Q016,P.S. Q016 The Nancy DeBenedittis School,1531,372,24.3%,11,s,s,359
24Q019,P.S. 019 Marino Jeantet,1919,240,12.5%,s,s,s,235
24Q028,P.S. 28 - The Thomas Emanuel Early Childhood Cente,479,28,5.8%,s,s,s,27
24Q049,P.S. 049 Dorothy Bonawit Kole,1227,66,5.4%,s,s,s,61
24Q058,P.S. 58 - The School of Heroes,1058,56,5.3%,9,s,s,46
24Q061,I.S. 061 Leonardo Da Vinci,2340,242,10.3%,16,10,6,226
24Q068,P.S. 068 Cambridge,608,28,4.6%,8,s,s,20
24Q071,P.S. 071 Forest,750,59,7.9%,s,s,s,53
24Q073,I.S. 73 - The Frank Sansivieri Intermediate School,2011,94,4.7%,10,s,s,81
24Q077,I.S. 077,974,87,8.9%,14,s,s,69
24Q081,P.S. 81Q Jean Paul Richter,673,103,15.3%,14,s,s,89
24Q087,P.S./I.S. 087 Middle Village,640,12,1.9%,s,s,s,10
24Q088,P.S. 088 Seneca,874,24,2.7%,10,s,s,12
24Q089,P.S. 089 Elmhurst,1862,194,10.4%,8,s,s,183
24Q091,P.S. 091 Richard Arkwright,775,25,3.2%,6,s,s,18
24Q093,I.S. 093 Ridgewood,1166,54,4.6%,6,s,s,48
24Q102,P.S. 102 Bayview,1357,99,7.3%,50,s,s,49
24Q110,P.S. 110,911,140,15.4%,s,s,s,136
