DBN,School Name,# Total Students,# Students in Temporary Housing,% Students in Temporary Housing,# Students Residing in Shelter,# Residing in DHS Shelter,# Residing in Non-DHS Shelter,# Doubled Up
27Q700,Universal Pre-K C.B.O.,1509,87,5.8%,22,16,6,64
28Q008,J.H.S. 008 Richard S. Grossley,402,53,13.2%,15,7,8,37
28Q040,P.S. 040 Samuel Huntington,413,74,17.9%,42,s,s,32
28Q048,P.S. 048 William Wordsworth,591,116,19.6%,32,26,6,72
28Q050,P.S. 050 Talfourd Lawn Elementary School,885,99,11.2%,38,30,8,57
28Q054,P.S. 054 Hillside,560,100,17.9%,10,s,s,85
28Q055,P.S. 055 Maure,541,27,5.0%,10,s,s,16
28Q072,Catherine & Count Basie Middle School 72,353,54,15.3%,28,22,6,24
28Q080,PS 80  The Thurgood Marshall Magnet School of Mult,503,62,12.3%,33,s,s,28
28Q082,P.S. 082 Hammond,675,73,10.8%,22,s,s,50
28Q086,P.S. Q086,898,86,9.6%,s,s,s,82
28Q099,P.S. 099 Kew Gardens,801,76,9.5%,15,s,s,59
28Q117,P.S. 117 J. Keld / Briarwood School,1029,78,7.6%,53,s,s,23
28Q121,P.S. 121 Queens,917,23,2.5%,6,s,s,13
28Q139,P.S. 139 Rego Park,782,32,4.1%,s,s,s,31
28Q140,P.S. 140 Edward K Ellington,493,77,15.6%,41,s,s,35
28Q144,P.S. 144 Col Jeromus Remsen,923,16,1.7%,s,s,s,14
28Q157,J.H.S. 157 Stephen A. Halsey,1693,63,3.7%,15,s,s,48
28Q160,P.S. 160 Walter Francis Bishop,641,65,10.1%,23,15,8,42
28Q161,P.S. 161 Arthur Ashe School,672,31,4.6%,s,s,s,28
28Q167,Metropolitan Expeditionary Learning School,831,39,4.7%,s,s,s,35
28Q174,P.S. 174 William Sidney Mount,695,12,1.7%,s,s,s,12
28Q175,P.S. 175 The Lynn Gross Discovery School,836,20,2.4%,s,s,s,19
28Q182,P.S. 182 Samantha Smith,745,94,12.6%,16,s,s,77
28Q190,J.H.S. 190 Russell Sage,1107,38,3.4%,11,s,s,25
28Q196,P.S. 196 Grand Central Parkway,1035,10,1.0%,s,s,s,7
28Q206,P.S. 206 The Horace Harding School,632,8,1.3%,s,s,s,7
28Q217,J.H.S. 217 Robert A. Van Wyck,1740,222,12.8%,51,44,7,167
28Q220,P.S. 220 Edward Mandel,734,49,6.7%,s,s,s,45
28Q284,York Early College Academy,656,22,3.4%,8,s,s,12
28Q287,The Emerson School,369,50,13.6%,10,s,s,37
28Q310,Queens Collegiate: A College Board School,690,48,7.0%,14,8,6,30
28Q312,Jamaica Children's School,206,18,8.7%,13,s,s,s
28Q325,Hillside Arts & Letters Academy,453,26,5.7%,9,s,s,17
28Q328,High School for Community Leadership,499,36,7.2%,10,s,s,25
28Q332,Redwood Middle School,346,37,10.7%,13,s,s,22
28Q335,The Ezra Jack Keats Pre-K Center,250,18,7.2%,s,s,s,15
28Q338,Queens Satellite High School for Opportunity,224,12,5.4%,s,s,s,6
28Q349,The Queens School for Leadership and Excellence,428,59,13.8%,21,s,s,37
28Q350,Jamaica Gateway to the Sciences,509,28,5.5%,8,s,s,19
28Q354,The Jermaine L. Green STEM Institute of Queens,604,60,9.9%,18,s,s,39
28Q358,M.S. 358,369,35,9.5%,s,s,s,31
28Q440,Forest Hills High School,3845,152,4.0%,22,13,9,118
28Q444,Home Schooling,353,13,3.7%,s,s,s,7
28Q505,Hillcrest High School,3304,177,5.4%,47,29,18,128
28Q620,Thomas A. Edison Career and Technical Education Hi,2191,65,3.0%,14,8,6,48
28Q680,Queens Gateway to Health Sciences Secondary School,702,24,3.4%,s,s,s,22
28Q686,Queens Metropolitan High School,1103,29,2.6%,s,s,s,23
28Q687,Queens High School for the Sciences at York Colleg,478,9,1.9%,s,s,s,8
28Q690,High School for Law Enforcement and Public Safety,463,25,5.4%,10,s,s,12
28Q700,Universal Pre-K C.B.O.,2120,80,3.8%,32,s,s,43
28Q896,"Young Women's Leadership School, Queens",552,23,4.2%,7,s,s,15
29Q015,P.S. 015 Jackie Robinson,455,61,13.4%,20,s,s,37
29Q033,P.S. 033 Edward M. Funk,973,41,4.2%,10,s,s,30
29Q034,P.S. 034 John Harvard,624,84,13.5%,16,s,s,67
29Q035,P.S. 035 Nathaniel Woodhull,701,58,8.3%,13,s,s,45
29Q036,P.S. 036 Saint Albans School,435,82,18.9%,24,18,6,56
29Q037,Cynthia Jenkins School,461,101,21.9%,33,26,7,56
29Q038,P.S. 038 Rosedale,302,19,6.3%,9,s,s,6
29Q052,P.S. 052 Queens,444,140,31.5%,115,105,10,23
29Q059,I.S. 059 Springfield Gardens,630,48,7.6%,10,s,s,33
29Q095,P.S. 095 Eastwood,1496,210,14.0%,53,42,11,157
29Q109,Jean Nuzzi Intermediate School,1194,67,5.6%,9,s,s,54
29Q116,P.S./I.S. 116 William C. Hughley,830,179,21.6%,76,66,10,93
29Q118,P.S. 118 Lorraine Hansberry,494,48,9.7%,18,11,7,26
29Q131,P.S. 131 Abigail Adams,794,103,13.0%,s,s,s,101
29Q132,P.S. 132 Ralph Bunche,377,46,12.2%,9,s,s,36
29Q134,P.S. 134 Hollis,357,38,10.6%,22,16,6,9
29Q135,The Bellaire School,989,50,5.1%,13,s,s,35
29Q136,P.S. 136 Roy Wilkins,624,60,9.6%,37,28,9,22
29Q138,P.S./M.S. 138 Sunrise,758,66,8.7%,23,s,s,38
29Q147,P.S./M.S. 147 Ronald McNair,593,60,10.1%,18,s,s,34
29Q156,P.S. 156 Laurelton,247,19,7.7%,9,s,s,8
29Q176,P.S. 176 Cambria Heights,771,9,1.2%,7,s,s,s
29Q181,P.S. 181 Brookfield,337,24,7.1%,16,s,s,8
29Q192,I.S. 192 The Linden,535,59,11.0%,16,s,s,38
29Q195,P.S. 195 William Haberle,544,45,8.3%,14,s,s,23
29Q208,P.S./I.S. 208,723,11,1.5%,s,s,s,7
29Q238,I.S. 238 - Susan B. Anthony Academy,1376,234,17.0%,45,39,6,187
29Q243,Institute for Health Professions at Cambria Height,445,34,7.6%,6,s,s,26
29Q248,Queens Preparatory Academy,380,51,13.4%,19,s,s,29
29Q251,P.S. 251 Queens,356,45,12.6%,17,s,s,26
29Q259,Pathways College Preparatory School: A College Boa,597,44,7.4%,11,s,s,25
29Q265,Excelsior Preparatory High School,446,33,7.4%,9,s,s,19
29Q268,P.S./I.S. 268,642,34,5.3%,s,s,s,25
29Q270,The Gordon Parks School,766,23,3.0%,10,s,s,13
29Q272,George Washington Carver High School for the Scien,443,40,9.0%,20,12,8,18
29Q283,Preparatory Academy for Writers: A College Board S,572,40,7.0%,14,s,s,22
29Q289,Queens United Middle School,176,17,9.7%,7,s,s,8
29Q295,P.S./I.S. 295,490,54,11.0%,s,s,s,48
29Q313,Benjamin Franklin High School for Finance & Inform,419,38,9.1%,s,s,s,30
29Q326,Cambria Heights Academy,390,31,7.9%,9,s,s,20
29Q327,Eagle Academy for Young Men III,510,43,8.4%,19,13,6,22
29Q355,Collaborative Arts Middle School,336,49,14.6%,16,s,s,26
29Q356,Community Voices Middle School,396,84,21.2%,29,23,6,46
29Q360,P.S. 360,217,9,4.1%,s,s,s,8
29Q381,District 29 Pre-K Center,216,20,9.3%,s,s,s,15
29Q444,Home Schooling,288,14,4.9%,8,s,s,6
29Q492,"Mathematics, Science Research and Technology Magne",428,40,9.3%,10,s,s,30
29Q498,Humanities & Arts Magnet High School,410,37,9.0%,12,s,s,25
29Q700,Universal Pre-K C.B.O.,1331,51,3.8%,26,19,7,21
30Q002,P.S. 002 Alfred Zimberg,585,30,5.1%,25,s,s,s
30Q010,I.S. 010 Horace Greeley,807,57,7.1%,11,s,s,46
30Q011,P.S. 011 Kathryn Phelan,981,84,8.6%,9,s,s,75
30Q017,P.S. 017 Henry David Thoreau,607,67,11.0%,7,s,s,60
30Q069,P.S. 069 Jackson Heights,1040,19,1.8%,s,s,s,15
30Q070,P.S. 070,894,15,1.7%,s,s,s,10
30Q076,P.S. 076 William Hallet,468,31,6.6%,13,s,s,17
30Q078,P.S./I.S. 78Q,783,9,1.1%,s,s,s,s
30Q084,P.S. 084 Steinway,285,13,4.6%,s,s,s,10
30Q085,P.S. 085 Judge Charles Vallone,653,27,4.1%,8,s,s,17
30Q092,P.S. 092 Harry T. Stewart Sr.,924,14,1.5%,7,s,s,7
30Q111,P.S. 111 Jacob Blackwell,344,75,21.8%,51,35,16,21
30Q112,P.S. 112 Dutch Kills,463,58,12.5%,10,s,s,46
30Q122,P.S. 122 Mamie Fay,1386,19,1.4%,s,s,s,17
30Q126,Albert Shanker School for Visual and Performing Ar,684,42,6.1%,11,s,s,29
30Q127,P.S. 127 Aerospace Science Magnet School,1305,90,6.9%,46,s,s,42
30Q141,I.S. 141 The Steinway,1191,64,5.4%,20,s,s,41
30Q145,I.S. 145 Joseph Pulitzer,1735,118,6.8%,7,s,s,111
30Q148,P.S. 148 Queens,838,111,13.2%,7,s,s,104
30Q149,P.S. 149 Christa Mcauliffe,1003,169,16.8%,s,s,s,164
30Q150,P.S. 150 Queens,1043,69,6.6%,s,s,s,63
30Q151,P.S. 151 Mary D. Carter,381,57,15.0%,12,s,s,43
30Q152,P.S. 152 Gwendoline N. Alleyne School,1035,213,20.6%,s,s,s,212
30Q166,P.S. 166 Henry Gradstein,1004,38,3.8%,12,s,s,26
30Q171,P.S. 171 Peter G. Van Alst,479,54,11.3%,15,8,7,31
30Q204,I.S. 204 Oliver W. Holmes,473,41,8.7%,15,8,7,24
30Q222,P.S. Q222 - Fire Fighter Christopher A. Santora Sc,282,12,4.3%,s,s,s,10
30Q227,I.S. 227 Louis Armstrong,1607,56,3.5%,7,s,s,49
30Q228,The Ivan Lafayette Early Childhood School of the A,317,54,17.0%,s,s,s,51
30Q230,I.S. 230,1303,63,4.8%,s,s,s,62
30Q234,P.S. 234,497,18,3.6%,s,s,s,17
30Q235,Academy for New Americans,151,80,53.0%,s,s,s,76
30Q258,Energy Tech High School,543,18,3.3%,s,s,s,15
30Q280,P.S. 280,646,33,5.1%,s,s,s,29
30Q286,"Young Women's Leadership School, Astoria",595,9,1.5%,s,s,s,8
30Q291,Hunters Point Community Middle School,425,22,5.2%,s,s,s,17
30Q300,The 30th Avenue School (G&T Citywide),520,6,1.2%,s,s,s,s
30Q301,Academy for Careers in Television and Film,565,17,3.0%,s,s,s,12
30Q329,East Elmhurst Community School,461,61,13.2%,s,s,s,53
30Q361,The Woodside Community School,344,33,9.6%,s,s,s,33
30Q389,District 30 Pre-K Center,312,22,7.1%,16,s,s,6
30Q444,Home Schooling,372,8,2.2%,s,s,s,s
30Q445,William Cullen Bryant High School,2437,198,8.1%,42,33,9,145
30Q450,Long Island City High School,2257,142,6.3%,52,41,11,87
30Q501,Frank Sinatra School of the Arts High School,858,14,1.6%,s,s,s,11
30Q502,Information Technology High School,1013,82,8.1%,10,s,s,71
30Q555,Newcomers High School,939,175,18.6%,s,s,s,173
30Q575,Academy of American Studies,1034,11,1.1%,s,s,s,9
30Q700,Universal Pre-K C.B.O.,1819,99,5.4%,14,s,s,84
31R001,P.S. 001 Tottenville,447,9,2.0%,s,s,s,8
31R002,I.S. R002 George L. Egbert,1091,36,3.3%,7,s,s,25
31R003,P.S. 003 The Margaret Gioiosa School,752,14,1.9%,s,s,s,13
31R004,P.S. 004 Maurice Wollin,692,21,3.0%,s,s,s,17
31R005,P.S. 005 Huguenot,317,9,2.8%,s,s,s,8
31R006,P.S. 6 Corporal Allan F. Kivlehan School,545,7,1.3%,s,s,s,6
31R007,I.S. 007 Elias Bernstein,1179,12,1.0%,s,s,s,10
31R008,P.S. 8 Shirlee Solomon,611,7,1.1%,s,s,s,s
31R009,Naples Street Elementary School,339,6,1.8%,s,s,s,s
31R010,Fort Hill Collaborative Elementary School,182,38,20.9%,14,s,s,21
31R011,P.S. 11 Thomas Dongan School,322,10,3.1%,s,s,s,6
31R013,P.S. 013 M. L. Lindemeyer,874,51,5.8%,10,s,s,38
31R016,P.S. 016 John J. Driscoll,507,71,14.0%,30,24,6,36
31R018,P.S. 018 John G. Whittier,510,86,16.9%,18,s,s,64
31R019,P.S. 019 The Curtis School,576,26,4.5%,11,s,s,14
31R020,P.S. 020 Port Richmond,464,43,9.3%,18,s,s,25
31R021,P.S. 21 Margaret Emery-Elm Park,354,16,4.5%,s,s,s,10
31R022,P.S. 022 Graniteville,966,101,10.5%,13,6,7,83
31R023,P.S. 023 Richmondtown,554,32,5.8%,s,s,s,30
31R024,I.S. 024 Myra S. Barnes,1370,33,2.4%,s,s,s,30
31R027,I.S. 027 Anning S. Prall,1077,49,4.5%,16,8,8,31
31R028,The Eagle Academy for Young Men of Staten Island,275,25,9.1%,11,s,s,12
31R029,P.S. 029 Bardwell,621,16,2.6%,6,s,s,10
31R030,P.S. 030 Westerleigh,843,22,2.6%,s,s,s,22
31R031,P.S. 031 William T. Davis,409,38,9.3%,18,s,s,18
31R032,P.S. 032 The Gifford School,689,6,0.9%,s,s,s,6
31R035,P.S. 35 The Clove Valley School,417,8,1.9%,s,s,s,s
31R038,P.S. 038 George Cromwell,385,12,3.1%,s,s,s,10
31R039,P.S. 39 Francis J. Murphy Jr.,549,45,8.2%,12,s,s,28
31R041,The Stephanie A. Vierno School,722,16,2.2%,s,s,s,13
31R042,P.S. 042 Eltingville,1077,20,1.9%,s,s,s,19
31R044,P.S. 044 Thomas C. Brown,804,89,11.1%,55,37,18,23
31R045,P.S. 045 John Tyler,879,59,6.7%,25,19,6,34
31R048,P.S. 048 William G. Wilcox,1013,15,1.5%,s,s,s,11
31R049,I.S. 49 Berta A. Dreyfus,549,46,8.4%,22,15,7,17
31R051,I.S. 051 Edwin Markham,1376,84,6.1%,33,23,10,50
31R052,P.S. 052 John C. Thompson,609,44,7.2%,s,s,s,40
31R053,The Barbara Esselborn School,855,25,2.9%,s,s,s,25
31R054,P.S. 054 Charles W. Leng,810,7,0.9%,s,s,s,s
31R056,P.S. 56 The Louis Desario School,594,9,1.5%,s,s,s,s
31R057,P.S. 057 Hubert H. Humphrey,671,66,9.8%,19,s,s,42
31R058,Space Shuttle Columbia School,711,29,4.1%,s,s,s,25
31R059,The Harbor View School,301,24,8.0%,s,s,s,24
31R060,P.S. 060 Alice Austen,872,13,1.5%,s,s,s,9
31R061,I.S. 061 William A Morris,968,54,5.6%,42,26,16,11
31R062,The Kathleen Grimm School for Leadership and Susta,290,7,2.4%,s,s,s,7
31R063,Marsh Avenue School for Expeditionary Learning,448,10,2.2%,s,s,s,7
31R064,Gaynor McCown Expeditionary Learning School,439,8,1.8%,s,s,s,7
31R065,P.S. 65 The Academy of Innovative Learning,442,29,6.6%,7,s,s,17
31R066,The Richmond Pre-K Center,257,19,7.4%,s,s,s,15
31R068,Port Richmond School for Visionary Learning,243,28,11.5%,s,s,s,23
31R069,P.S. 069 Daniel D. Tompkins,957,6,0.6%,s,s,s,s
31R072,I.S. 072 Rocco Laurie,1505,43,2.9%,s,s,s,39
31R074,P.S. 74 Future Leaders Elementary School,310,63,20.3%,37,28,9,25
31R075,I.S. 075 Frank D. Paulo,1463,17,1.2%,s,s,s,13
31R078,P.S. 78,811,92,11.3%,59,44,15,27
31R080,The Michael J. Petrides School,1338,20,1.5%,6,s,s,13
31R440,New Dorp High School,3043,109,3.6%,17,8,9,85
31R444,Home Schooling,568,24,4.2%,15,7,8,7
31R445,Port Richmond High School,1562,105,6.7%,30,17,13,71
31R450,Curtis High School,2562,178,6.9%,57,30,27,106
31R455,Tottenville High School,3702,83,2.2%,s,s,s,78
31R460,Susan E. Wagner High School,3402,83,2.4%,23,15,8,55
31R470,Concord High School,193,15,7.8%,6,s,s,9
31R600,Ralph R. McKee Career and Technical Education High,780,22,2.8%,11,s,s,8
31R607,Staten Island Yabc,220,7,3.2%,s,s,s,s
31R700,Universal Pre-K C.B.O.,2163,48,2.2%,11,s,s,35
31R861,Staten Island School of Civic Leadership,916,50,5.5%,9,s,s,37
32K045,P.S./I.S. 045 Horace E. Greene,655,93,14.2%,64,58,6,23
32K075,P.S. 075 Mayda Cortiella,319,62,19.4%,8,s,s,54
32K086,P.S. 086 The Irvington,406,82,20.2%,s,s,s,77
32K106,P.S. 106 Edward Everett Hale,415,62,14.9%,26,20,6,26
32K116,P.S. 116 Elizabeth L Farrell,368,69,18.8%,8,s,s,61
32K123,P.S. 123 Suydam,613,69,11.3%,27,s,s,41
32K145,P.S. 145 Andrew Jackson,551,169,30.7%,55,49,6,113
32K151,P.S. 151 Lyndon B. Johnson,309,108,35.0%,10,s,s,92
32K162,J.H.S. 162 The Willoughby,353,66,18.7%,17,s,s,45
32K168,The Brooklyn School for Math and Research,302,34,11.3%,14,s,s,20
32K274,P.S. 274 Kosciusko,384,112,29.2%,47,41,6,65
32K291,J.H.S. 291 Roland Hayes,324,95,29.3%,21,s,s,70
32K299,P.S. 299 Thomas Warren Field,250,62,24.8%,32,s,s,29
32K347,I.S. 347 School of Humanities,345,52,15.1%,10,s,s,40
32K349,"I.S. 349 Math, Science & Tech.",335,54,16.1%,18,s,s,36
32K376,P.S. 376,550,64,11.6%,7,s,s,56
32K377,P.S. 377 Alejandrina B. De Gautier,168,12,7.1%,9,s,s,s
32K383,J.H.S. 383 Philippa Schuyler,905,32,3.5%,17,11,6,15
32K384,P.S. /I.S. 384 Frances E. Carter,522,54,10.3%,17,s,s,36
32K403,Academy for Environmental Leadership,293,74,25.3%,14,s,s,52
32K444,Home Schooling,46,11,23.9%,9,s,s,s
32K545,EBC High School for Public Service - Bushwick,492,47,9.6%,18,s,s,28
32K549,The Brooklyn School for Social Justice,364,56,15.4%,24,18,6,29
32K552,The Academy of Urban Planning and Engineering,241,29,12.0%,7,s,s,21
32K554,All City Leadership Secondary School,437,17,3.9%,s,s,s,15
32K556,Bushwick Leaders High School for Academic Excellen,305,52,17.0%,16,9,7,36
32K562,Evergreen Middle School for Urban Exploration,373,66,17.7%,34,s,s,31
32K564,Bushwick Community High School,228,21,9.2%,13,s,s,7
32K700,Universal Pre-K C.B.O.,787,58,7.4%,14,s,s,42
75K004,P.S. K004,346,27,7.8%,19,s,s,s
75K036,P.S. 36,431,61,14.2%,43,31,12,10
75K053,P.S. K053,461,20,4.3%,14,s,s,s
75K077,P.S. K077,286,15,5.2%,8,s,s,s
75K140,P.S. K140,376,72,19.1%,39,23,16,14
75K141,P.S. K141,367,34,9.3%,25,18,7,s
75K231,P.S. K231,373,14,3.8%,7,s,s,s
75K368,P.S. 368,304,51,16.8%,32,24,8,13
75K369,P.S. K369 - Coy L. Cox School,552,52,9.4%,29,16,13,14
75K370,P.S. 370,259,13,5.0%,s,s,s,7
75K371,P.S. 371 - Lillian L. Rashkis,278,25,9.0%,13,7,6,s
75K373,P.S. 373 - Brooklyn Transition Center,463,29,6.3%,21,s,s,6
75K396,P.S. K396,446,67,15.0%,28,s,s,33
75K721,P.S. K721 - Brooklyn Occupational Training Center,491,25,5.1%,11,s,s,12
75K753,P.S. K753 - School for Career Development,322,53,16.5%,39,23,16,s
75K771,P.S. K771,452,16,3.5%,11,s,s,s
75K811,P.S. K811 Connie Lekas School,343,30,8.7%,11,s,s,15
75M035,P.S. 035,364,51,14.0%,28,18,10,8
75M079,P.S. M079 - Horan School,290,33,11.4%,20,s,s,11
75M094,P.S. M094,436,59,13.5%,35,23,12,12
75M138,P.S. 138,636,65,10.2%,43,33,10,22
75M169,P.S. M169 - Robert F. Kennedy,393,80,20.4%,42,26,16,36
75M226,P.S. M226,309,44,14.2%,22,s,s,20
75M401,Hospital Schools,347,48,13.8%,9,s,s,s
75M501,Home Instruction,90,23,25.6%,s,s,s,s
75M721,P.S. M721 - Manhattan Occupational Training Center,204,17,8.3%,10,s,s,7
75M751,Manhattan School for Career Development,232,25,10.8%,9,s,s,12
75M811,P.S. M811 - Mickey Mantle School,395,77,19.5%,33,26,7,37
75Q004,P.S. Q004,439,25,5.7%,13,s,s,9
75Q009,P.S. 009,692,68,9.8%,39,25,14,21
75Q023,P.S. Q023 @ Queens Children Center,586,38,6.5%,15,s,s,10
75Q075,Robert E. Peary School,606,62,10.2%,31,20,11,18
75Q177,P.S. Q177,496,15,3.0%,7,s,s,7
75Q224,P.S. Q224,422,24,5.7%,8,s,s,10
75Q233,P.S. Q233,511,18,3.5%,13,s,s,s
75Q255,P.S. Q255,434,10,2.3%,7,s,s,s
75Q256,P.S. Q256,679,53,7.8%,30,23,7,13
75Q277,The Riverview School,515,40,7.8%,20,s,s,19
75Q721,John F. Kennedy Jr. School,502,31,6.2%,12,s,s,14
75Q752,Queens Transition Center,422,35,8.3%,23,14,9,s
75Q811,P.S. Q811,450,22,4.9%,10,s,s,7
75Q993,P.S. Q993,591,17,2.9%,8,s,s,6
75R025,South Richmond High School I.S./P.S. 25,649,44,6.8%,26,20,6,6
75R037,The David Marquis School of the Arts,378,10,2.6%,6,s,s,s
75R373,P.S. R373,629,36,5.7%,21,s,s,13
75R721,The Richard H. Hungerford School,466,20,4.3%,8,s,s,10
75X010,P.S. X010,618,55,8.9%,36,30,6,16
75X012,P.S. X012 Lewis and Clark School,272,40,14.7%,22,10,12,8
75X017,P.S. X017,478,58,12.1%,45,33,12,8
75X168,P.S. 168,564,85,15.1%,37,s,s,34
75X176,P.S. X176,556,29,5.2%,21,s,s,6
75X186,P186X Walter J. Damrosch School,801,135,16.9%,104,79,25,22
75X188,P.S. X188,513,75,14.6%,43,27,16,26
75X352,The Vida Bogart School for All Children,557,91,16.3%,54,38,16,29
75X469,P469X - The Bronx School for Continuous Learners,343,53,15.5%,31,21,10,21
75X596,P.S. X596,422,22,5.2%,16,s,s,s
75X721,P.S. X721 - Stephen McSweeney School,556,43,7.7%,23,16,7,16
75X723,P.S. 723,531,95,17.9%,60,38,22,13
75X754,J. M. Rapport School Career Development,538,103,19.1%,60,33,27,21
75X811,P.S. X811,652,61,9.4%,37,22,15,20
79M645,School for Cooperative Technical Education,1186,81,6.8%,26,12,14,46
79M921,District 79 Youth Justice and Treatment Programs,102,14,13.7%,s,s,s,s
79M973,Restart Academy,800,369,46.1%,52,30,22,24
79Q344,East River Academy,713,94,13.2%,34,11,23,25
79Q950,Pathways to Graduation,7193,998,13.9%,370,178,192,368
79X695,Passages Academy,320,47,14.7%,21,9,12,10
