SITE ID,STATUS,PPT ID,ADDRESS,BOROUGH,LATITUDE,LONGITUDE,WIFI STATUS,TABLET STATUS,PHONE STATUS,CROSS STREET 1,CROSS STREET 2,CORNER LOCATION,COMMUNITY BOARD,COUNCIL DISTRICT,CENSUS TRACT,NTA,BBL,BIN,LOCATION,POSTCODE,PPT ID
bk-01-146001,Live,146001,185 BERRY STREET,Brooklyn,40.71684975,-73.96084076,up,up,up,NORTH 4 STREET,NORTH 3 STREET,SW,301,34,3055300,North Side-South Side,3023510006,3062367,"(40.71684975, -73.96084076)",11249,146001
bk-01-146002,Live,146002,203 BERRY STREET,Brooklyn,40.71643057,-73.96128653,up,up,up,NORTH 3 STREET,NORTH 4 STREET,SE,301,34,3055300,North Side-South Side,3023517501,3398167,"(40.71643057, -73.96128653)",11249,146002
bk-01-146006,Live,146006,175 GRAND STREET,Brooklyn,40.71449771,-73.9610955,up,up,up,BEDFORD AVENUE,DRIGGS AVENUE,NE,301,34,3055300,North Side-South Side,3023810035,3062647,"(40.71449771, -73.9610955)",11211,146006
bk-01-146007,Live,146007,364 GRAND STREET,Brooklyn,40.71226766,-73.95561039,up,up,up,HAVEMEYER STREET,MARCY AVENUE,NE,301,34,3052300,North Side-South Side,3023960019,3062845,"(40.71226766, -73.95561039)",11211,146007
bk-01-146010,Live,146010,145 WYTHE AVENUE,Brooklyn,40.71940433,-73.96047431,up,up,up,NORTH 7 STREET,NORTH 6 STREET,SW,301,33,3055500,North Side-South Side,3023260007,3062048,"(40.71940433, -73.96047431)",11249,146010
bk-01-146012,Live,146012,230 BERRY STREET,Brooklyn,40.71522663,-73.96274067,up,up,up,GRAND STREET,NORTH 1 STREET,NW,301,34,3055500,North Side-South Side,3023790024,3398694,"(40.71522663, -73.96274067)",11249,146012
bk-01-146013,Live,146013,115 NORTH 6 STREET,Brooklyn,40.718187,-73.95968841,up,up,up,BERRY STREET,WYTHE AVENUE,NW,301,33,3055500,North Side-South Side,3023260027,3062058,"(40.718187, -73.95968841)",11249,146013
bk-01-146014,Live,146014,126 NORTH 8 STREET,Brooklyn,40.71924622,-73.95861248,up,up,up,METROPOLITAN AVENUE,CONSELYEA STREET,SW,301,33,3055700,North Side-South Side,3023180017,3324819,"(40.71924622, -73.95861248)",11249,146014
bk-01-146015,Live,146015,219 GRAND STREET,Brooklyn,40.71385109,-73.95953976,up,up,up,DRIGGS AVENUE,ROEBLING STREET,NE,301,34,3051900,North Side-South Side,3023827502,3342373,"(40.71385109, -73.95953976)",11211,146015
bk-01-146016,Live,146016,28 NORTH 5 STREET,Brooklyn,40.71906736,-73.96276535,up,up,up,KENT AVENUE,WYTHE AVENUE,SE,301,33,3055500,North Side-South Side,3023410001,3062291,"(40.71906736, -73.96276535)",11249,146016
bk-01-146017,Live,146017,45 NORTH 9 STREET,Brooklyn,40.72138255,-73.96035235,up,up,up,KENT AVENUE,WYTHE AVENUE,NE,301,33,3055700,North Side-South Side,3023020001,3061644,"(40.72138255, -73.96035235)",11249,146017
bk-01-146018,Live,146018,43 NORTH 11 STREET,Brooklyn,40.72250424,-73.9592022,up,up,up,KENT AVENUE,WYTHE AVENUE,NE,301,33,3055700,North Side-South Side,3022880001,3329916,"(40.72250424, -73.9592022)",11249,146018
bk-01-146022,Live,146022,2 DEVOE STREET,Brooklyn,40.71307988,-73.95128474,up,up,up,UNION AVENUE,LORIMER STREET,SE,301,34,3051300,North Side-South Side,3027670009,3068930,"(40.71307988, -73.95128474)",11211,146022
bk-01-146041,Live,146041,43 NORTH 10 STREET,Brooklyn,40.72194342,-73.95977484,up,up,up,KENT AVENUE,WYTHE AVENUE,NE,301,33,3055700,North Side-South Side,3022950001,3061586,"(40.72194342, -73.95977484)",11249,146041
