"","zip","modzcta_name","label","lat","lon","percentpositivity_7day","people_tested","people_positive","median_daily_test_rate","adequately_tested","daterange","latitude","longitude"
"93",11205,"Bedford-Stuyvesant (West)/Clinton Hill/Fort Greene","11205",40.694625,-73.966212,1.27,2924,37,705.9,"Yes","February 9-February 15",40.69,-73.97
"94",11206,"Williamsburg (South)","11206",40.701957,-73.942361,1.03,4348,45,535.1,"Yes","February 9-February 15",40.7,-73.94
"95",11207,"Cypress Hills/East New York","11207",40.670819,-73.894255,1.93,2743,53,548.1,"Yes","February 9-February 15",40.67,-73.89
"96",11208,"Cypress Hills/East New York","11208",40.668385,-73.871084,1.97,2692,53,460.4,"Yes","February 9-February 15",40.67,-73.87
"97",11209,"Bay Ridge/Fort Hamilton","11209",40.621811,-74.030011,3.54,1863,66,457.7,"Yes","February 9-February 15",40.62,-74.03
"98",11210,"Flatlands/Midwood","11210",40.628165,-73.946316,1.83,1640,30,395.8,"Yes","February 9-February 15",40.63,-73.95
"99",11211,"East Williamsburg/Williamsburg (North)/Williamsburg (South)","11211, 11249",40.712334,-73.953851,1.53,5311,81,524.3,"Yes","February 9-February 15",40.71,-73.95
"100",11212,"Ocean Hill-Brownsville","11212",40.662935,-73.913011,1.8,2500,45,573.2,"Yes","February 9-February 15",40.66,-73.91
"101",11213,"Crown Heights (East)","11213",40.671074,-73.93633,2.01,2085,42,605.3,"Yes","February 9-February 15",40.67,-73.94
"102",11214,"Bath Beach/Bensonhurst/Gravesend","11214",40.598729,-73.99621,2.87,2441,70,508.5,"Yes","February 9-February 15",40.6,-74
"103",11215,"Gowanus/Park Slope/Windsor Terrace","11215",40.66252,-73.986872,2.01,2791,56,781.3,"Yes","February 9-February 15",40.66,-73.99
"104",11216,"Bedford-Stuyvesant (West)/Crown Heights (West)","11216",40.680785,-73.94931,2.49,1924,48,682.2,"Yes","February 9-February 15",40.68,-73.95
"105",11217,"Boerum Hill/Park Slope","11217, 11243",40.682417,-73.97938,2.42,1655,40,814.8,"Yes","February 9-February 15",40.68,-73.98
"106",11218,"Kensington/Windsor Terrace","11218",40.64348,-73.976044,2.24,2816,63,632.5,"Yes","February 9-February 15",40.64,-73.98
"107",11219,"Borough Park","11219",40.632662,-73.996666,1.39,3317,46,498.4,"Yes","February 9-February 15",40.63,-74
"108",11220,"Sunset Park","11220",40.641081,-74.016495,2.92,2641,77,485.2,"Yes","February 9-February 15",40.64,-74.02
"109",11221,"Bedford-Stuyvesant (East)/Bushwick","11221",40.691339,-73.927885,2.43,2551,62,546.4,"Yes","February 9-February 15",40.69,-73.93
"110",11222,"Greenpoint","11222",40.728292,-73.947562,2.53,1623,41,913.5,"Yes","February 9-February 15",40.73,-73.95
"111",11223,"Gravesend/Homecrest","11223",40.597169,-73.973422,2.31,1990,46,373,"Yes","February 9-February 15",40.6,-73.97
"112",11224,"Brighton Beach/Coney Island/Seagate","11224",40.57666,-73.988581,3.14,1211,38,404.1,"Yes","February 9-February 15",40.58,-73.99
"113",11225,"Crown Heights (West)/Prospect Lefferts Gardens","11225",40.663056,-73.954226,1.91,1731,33,554.7,"Yes","February 9-February 15",40.66,-73.95
"114",11226,"Flatbush/Prospect Lefferts Gardens","11226",40.646456,-73.956654,1.65,3207,53,585.5,"Yes","February 9-February 15",40.65,-73.96
"115",11228,"Bath Beach/Dyker Heights","11228",40.616715,-74.013054,2.68,1195,32,413.5,"Yes","February 9-February 15",40.62,-74.01
"116",11229,"Gerritsen Beach/Homecrest/Sheepshead Bay","11229",40.601175,-73.944465,1.79,1957,35,311.3,"Yes","February 9-February 15",40.6,-73.94
"117",11230,"Midwood","11230",40.622164,-73.965096,2.46,2560,63,471.4,"Yes","February 9-February 15",40.62,-73.97
"118",11231,"Carroll Gardens/Cobble Hill/Red Hook","11231",40.677562,-74.004445,3.58,1510,54,741.1,"Yes","February 9-February 15",40.68,-74.01
"119",11232,"Sunset Park","11232",40.655984,-74.005304,2.38,798,19,472.6,"Yes","February 9-February 15",40.66,-74.01
"120",11233,"Bedford-Stuyvesant (East)/Ocean Hill-Brownsville","11233",40.678302,-73.919931,1.42,2331,33,581.2,"Yes","February 9-February 15",40.68,-73.92
"121",11234,"Bergen Beach/Flatlands/Marine Park/Mill Basin","11234",40.60758,-73.910513,2.25,2176,49,354,"Yes","February 9-February 15",40.61,-73.91
"122",11235,"Brighton Beach/Manhattan Beach/Sheepshead Bay","11235",40.583915,-73.949669,2.9,2556,74,561.4,"Yes","February 9-February 15",40.58,-73.95
"123",11236,"Canarsie","11236",40.640004,-73.901459,1.32,2428,32,444.8,"Yes","February 9-February 15",40.64,-73.9
"124",11237,"Bushwick/East Williamsburg","11237",40.704153,-73.920883,2.01,1392,28,522.9,"Yes","February 9-February 15",40.7,-73.92
"125",11238,"Clinton Hill/Prospect Heights","11238",40.679179,-73.963804,2.33,2270,53,799.3,"Yes","February 9-February 15",40.68,-73.96
"126",11239,"East New York","11239",40.64753,-73.882398,2.32,388,9,460.7,"Yes","February 9-February 15",40.65,-73.88
"127",11354,"Flushing/Murray Hill","11354",40.76863,-73.827229,4.39,1070,47,313.4,"Yes","February 9-February 15",40.77,-73.84
"128",11355,"Flushing/Murray Hill/Queensboro Hill","11355",40.751459,-73.821014,3.02,1753,53,381.7,"Yes","February 9-February 15",40.75,-73.82
"129",11356,"College Point","11356",40.784867,-73.841495,2.61,612,16,442.7,"Yes","February 9-February 15",40.78,-73.84
"130",11357,"Whitestone","11357",40.78639,-73.810964,3,867,26,315.1,"Yes","February 9-February 15",40.79,-73.81
"131",11358,"Auburndale/Murray Hill","11358",40.760475,-73.79637,2.38,882,21,444.1,"Yes","February 9-February 15",40.76,-73.8
"132",11360,"Bayside (North)","11360",40.78205,-73.7808,3.79,422,16,399,"Yes","February 9-February 15",40.78,-73.78
"133",11361,"Bayside (North)/Bayside (South)","11361",40.763748,-73.772419,2.66,601,16,364,"Yes","February 9-February 15",40.76,-73.77
"134",11362,"Douglaston-Little Neck","11362",40.756533,-73.736995,3.27,428,14,265.2,"Yes","February 9-February 15",40.76,-73.74
"135",11363,"Douglaston-Little Neck","11363",40.772803,-73.746444,1.61,186,3,415.7,"Yes","February 9-February 15",40.77,-73.75
"136",11364,"Bayside (South)/Oakland Gardens","11364",40.745279,-73.760578,2.67,937,25,448.3,"Yes","February 9-February 15",40.75,-73.76
"137",11365,"Auburndale/Fresh Meadows/Pomonok/Utopia","11365",40.739775,-73.794806,1.46,1093,16,390.3,"Yes","February 9-February 15",40.74,-73.79
"138",11366,"Fresh Meadows/Hillcrest","11366",40.728136,-73.784981,1.64,366,6,450.4,"Yes","February 9-February 15",40.73,-73.79
"139",11367,"Kew Gardens Hills/Pomonok","11367",40.730383,-73.826297,2.19,915,20,324.5,"Yes","February 9-February 15",40.73,-73.83
"140",11368,"Corona/North Corona","11368",40.749594,-73.852604,1.44,3184,46,356.1,"Yes","February 9-February 15",40.74,-73.85
"141",11369,"Airport/East Elmhurst","11369",40.768944,-73.872812,1.38,1012,14,541.2,"Yes","February 9-February 15",40.76,-73.88
"142",11370,"Jackson Heights/Rikers Island","11370",40.763466,-73.891021,2.09,718,15,396.5,"Yes","February 9-February 15",40.77,-73.89
"143",11372,"Jackson Heights","11372",40.75169,-73.883634,1.73,1850,32,538.9,"Yes","February 9-February 15",40.75,-73.88
"144",11373,"Elmhurst","11373",40.738823,-73.8785,1.92,2708,52,353.5,"Yes","February 9-February 15",40.74,-73.88
"145",11374,"Rego Park","11374",40.726441,-73.861497,2.83,1131,32,425.2,"Yes","February 9-February 15",40.72,-73.86
"146",11375,"Forest Hills","11375",40.720931,-73.846184,1.89,1848,35,433.6,"Yes","February 9-February 15",40.72,-73.84
"147",11377,"Woodside","11377",40.744823,-73.90516,2.42,2270,55,393.8,"Yes","February 9-February 15",40.74,-73.9
"148",11378,"Maspeth","11378",40.724768,-73.909399,3.54,875,31,356.9,"Yes","February 9-February 15",40.72,-73.9
"149",11379,"Middle Village","11379",40.716758,-73.879597,3.34,868,29,324.8,"Yes","February 9-February 15",40.71,-73.88
"150",11385,"Glendale/Ridgewood","11385",40.701058,-73.890159,2.35,2643,62,412.1,"Yes","February 9-February 15",40.7,-73.89
"151",11411,"Cambria Heights","11411",40.694202,-73.735998,2.07,483,10,369.5,"Yes","February 9-February 15",40.69,-73.73
"152",11412,"St. Albans","11412",40.698095,-73.758984,2.06,1070,22,493.5,"Yes","February 9-February 15",40.69,-73.75
"153",11413,"Laurelton/Rosedale","11413",40.669738,-73.750842,1.85,1135,21,476.8,"Yes","February 9-February 15",40.66,-73.75
"154",11414,"Hamilton Beach/Howard Beach/Lindenwood","11414",40.658266,-73.844905,3.49,601,21,335,"Yes","February 9-February 15",40.66,-73.84
"155",11415,"Kew Gardens","11415",40.708323,-73.828212,3.68,489,18,370.9,"Yes","February 9-February 15",40.71,-73.83
"156",11416,"Ozone Park","11416",40.684652,-73.849549,0.69,727,5,416.8,"Yes","February 9-February 15",40.68,-73.85
"157",11417,"Ozone Park","11417",40.676457,-73.844522,1.22,905,11,512.2,"Yes","February 9-February 15",40.68,-73.84
"158",11418,"Richmond Hill","11418",40.700236,-73.836062,2.2,953,21,380.5,"Yes","February 9-February 15",40.7,-73.84
"159",11419,"Richmond Hill/South Ozone Park","11419",40.688676,-73.822901,2.4,1291,31,474.2,"Yes","February 9-February 15",40.69,-73.82
"160",11420,"South Ozone Park","11420",40.673518,-73.817812,1.5,1133,17,359.6,"Yes","February 9-February 15",40.67,-73.81
"161",11421,"Woodhaven","11421",40.69405,-73.85867,2.06,1114,23,397,"Yes","February 9-February 15",40.69,-73.85
"162",11422,"Rosedale","11422",40.660819,-73.73608,1.88,797,15,410.6,"Yes","February 9-February 15",40.66,-73.73
"163",11423,"Hollis/Holliswood","11423",40.71491,-73.767865,2.36,847,20,446.4,"Yes","February 9-February 15",40.71,-73.76
"164",11426,"Bellerose","11426",40.736521,-73.722384,3.56,478,17,381.9,"Yes","February 9-February 15",40.74,-73.72
"165",11427,"Bellerose/Hollis Hills/Holliswood","11427",40.730915,-73.745611,1.89,582,11,428.5,"Yes","February 9-February 15",40.73,-73.75
"166",11428,"Queens Village","11428",40.721015,-73.742206,3.03,528,16,468.2,"Yes","February 9-February 15",40.72,-73.74
"167",11429,"Queens Village","11429",40.709772,-73.738731,1.19,754,9,417.1,"Yes","February 9-February 15",40.71,-73.74
"168",11432,"Hillcrest/Jamaica Estates/Jamaica Hills","11432",40.715359,-73.793064,2.28,1669,38,475.7,"Yes","February 9-February 15",40.72,-73.79
"169",11433,"Jamaica","11433",40.69823,-73.787095,0.74,1084,8,484.6,"Yes","February 9-February 15",40.7,-73.79
"170",11434,"Airport/South Jamaica/Springfield Gardens/St. Albans","11434",40.656866,-73.783386,1.61,1869,30,503.3,"Yes","February 9-February 15",40.68,-73.78
"171",11435,"Briarwood/Jamaica","11435",40.701291,-73.809618,1.53,1437,22,424.5,"Yes","February 9-February 15",40.7,-73.81
"172",11436,"South Jamaica/South Ozone Park","11436",40.675819,-73.796618,2.23,538,12,459,"Yes","February 9-February 15",40.68,-73.8
"173",11691,"Edgemere/Far Rockaway","11691",40.60133,-73.761357,1.78,1571,28,375.4,"Yes","February 9-February 15",40.6,-73.76
"174",11692,"Arverne/Edgemere","11692",40.592794,-73.792203,1.41,569,8,451.8,"Yes","February 9-February 15",40.59,-73.79
"175",11693,"Arverne/Broad Channel","11693",40.603699,-73.821926,2.9,276,8,347.2,"Yes","February 9-February 15",40.59,-73.81
"176",11694,"Belle Harbor-Neponsit/Rockaway Park","11694",40.577599,-73.844553,3.7,297,11,274.3,"Yes","February 9-February 15",40.58,-73.84
"177",11697,"Breezy Point","11697",40.55907,-73.907199,3.51,57,2,235.8,"No","February 9-February 15",40.56,-73.91
